Date,Open,High,Low,Close,Adj Close,Volume
2020-09-16,32.000000,32.150002,31.650000,31.750000,31.750000,24685970
2020-09-17,31.750000,31.750000,30.799999,30.900000,30.900000,40160060
2020-09-18,30.900000,31.400000,30.850000,30.950001,30.950001,34257440
2020-09-21,30.250000,30.450001,29.299999,29.299999,29.299999,120212700
2020-09-22,28.500000,28.799999,28.299999,28.700001,28.700001,87310260
2020-09-23,28.450001,28.799999,27.500000,28.750000,28.750000,109384300
2020-09-24,28.450001,28.650000,27.900000,28.600000,28.600000,63528720
2020-09-25,28.549999,28.700001,27.900000,28.200001,28.200001,42465820
2020-09-28,28.350000,31.299999,28.250000,30.799999,30.799999,150402100
2020-09-29,30.850000,31.400000,30.000000,30.000000,30.000000,55920300
2020-09-30,30.500000,30.500000,29.650000,29.799999,29.799999,35285500
2020-10-05,30.700001,31.900000,30.700001,31.000000,31.000000,69650600
2020-10-06,31.100000,31.200001,30.750000,31.049999,31.049999,28877680
2020-10-07,31.049999,31.600000,31.000000,31.549999,31.549999,29318880
2020-10-08,31.799999,31.799999,31.200001,31.400000,31.400000,15582310
2020-10-09,31.500000,31.549999,31.000000,31.450001,31.450001,20790750
2020-10-12,31.400000,31.700001,31.049999,31.450001,31.450001,33931070
2020-10-14,30.900000,30.900000,30.150000,30.500000,30.500000,31480930
2020-10-15,30.000000,30.600000,29.700001,29.900000,29.900000,41648850
2020-10-16,29.850000,30.299999,29.750000,30.150000,30.150000,18962830
2020-10-19,30.500000,31.200001,30.500000,30.900000,30.900000,28515000
2020-10-20,30.650000,31.200001,30.450001,30.799999,30.799999,22502280
2020-10-21,30.850000,31.350000,30.799999,31.049999,31.049999,17002000
2020-10-22,30.900000,31.299999,30.750000,31.250000,31.250000,22072770
2020-10-23,31.250000,32.799999,31.100000,32.250000,32.250000,67908920
2020-10-27,32.400002,34.000000,32.200001,33.799999,33.799999,106318300
2020-10-28,33.549999,33.549999,32.349998,32.650002,32.650002,51755010
2020-10-29,31.700001,32.450001,31.650000,32.299999,32.299999,32120550
2020-10-30,32.500000,32.700001,31.799999,32.099998,32.099998,31133670
2020-11-02,32.150002,33.000000,32.150002,32.799999,32.799999,34326560
2020-11-03,33.200001,34.000000,33.099998,33.799999,33.799999,47342660
2020-11-04,34.599998,35.099998,33.799999,33.799999,33.799999,81474330
2020-11-05,34.049999,34.450001,33.400002,34.150002,34.150002,46078990
2020-11-06,33.900002,35.000000,33.900002,34.700001,34.700001,41024410
2020-11-09,35.049999,35.299999,34.650002,34.849998,34.849998,28966370
2020-11-10,37.349998,37.700001,36.700001,37.700001,37.700001,116830200
2020-11-11,38.000000,39.349998,37.900002,39.250000,39.250000,97089780
2020-11-12,39.400002,39.700001,38.000000,38.349998,38.349998,45560980
2020-11-13,37.549999,37.549999,36.700001,37.250000,37.250000,41586500
2020-11-16,38.000000,39.000000,38.000000,38.799999,38.799999,36533520
2020-11-17,39.250000,39.349998,38.500000,39.250000,39.250000,42547660
2020-11-18,38.799999,39.450001,38.599998,39.200001,39.200001,36579850
2020-11-19,39.299999,39.799999,39.099998,39.099998,39.099998,30734200
2020-11-20,39.099998,39.200001,38.599998,38.900002,38.900002,20277460
2020-11-23,39.250000,39.450001,38.799999,39.349998,39.349998,18219560
2020-11-24,39.650002,39.750000,39.349998,39.750000,39.750000,24252790
2020-11-25,41.049999,42.950001,41.049999,42.349998,42.349998,107805300
2020-11-26,41.650002,42.450001,41.200001,42.000000,42.000000,56764440
2020-11-27,41.299999,42.250000,41.049999,42.000000,42.000000,48916840
2020-11-30,42.000000,42.049999,41.299999,41.500000,41.500000,35056130
2020-12-01,40.700001,41.549999,40.500000,41.000000,41.000000,48696910
2020-12-02,41.950001,43.000000,41.950001,42.500000,42.500000,57225020
2020-12-03,43.049999,43.799999,42.849998,43.400002,43.400002,43365020
2020-12-04,43.900002,44.000000,42.799999,43.750000,43.750000,78097200
2020-12-07,43.799999,44.000000,42.599998,42.900002,42.900002,38401360
2020-12-08,42.299999,42.450001,41.000000,41.349998,41.349998,47719140
2020-12-09,41.250000,42.250000,41.250000,41.750000,41.750000,26247730
2020-12-10,41.400002,41.900002,41.299999,41.900002,41.900002,13294580
2020-12-11,42.349998,42.799999,41.650002,41.650002,41.650002,29090030
2020-12-14,41.650002,41.750000,40.900002,41.349998,41.349998,32650410
2020-12-15,41.549999,41.549999,40.650002,41.000000,41.000000,38355780
2020-12-16,41.599998,41.950001,41.099998,41.299999,41.299999,34039260
2020-12-17,41.250000,41.700001,40.900002,41.700001,41.700001,21812270
2020-12-18,41.299999,41.500000,40.900002,41.150002,41.150002,16213630
2020-12-21,40.500000,40.599998,39.400002,39.500000,39.500000,43011040
2020-12-22,39.150002,39.849998,38.900002,39.450001,39.450001,20537980
2020-12-23,39.349998,39.799999,39.200001,39.549999,39.549999,11058180
2020-12-24,40.200001,40.700001,40.049999,40.099998,40.099998,17342740
2020-12-28,40.200001,40.549999,39.750000,40.000000,40.000000,34795080
2020-12-29,39.849998,40.250000,39.549999,40.250000,40.250000,18625910
2020-12-30,40.000000,40.799999,39.700001,40.599998,40.599998,19366000
